title,description,street,city,state,zip,country,lat,lng,phone,fax,email,website,products,logo
Amanda Food Court,,16 saint Joseph Blvd,Port Ewen,NY,12466,United States,41.895937,-73.975429,336-854-5536,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Aqua Food Store,,4395 Dardanelle Drive,Orlando,FL,32808,United States,28.5803545,-81.4384996,336-854-5537,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Astro Club,,20910 Harmon Road,Fort Worth,TX,76177,United States,32.9384143,-97.3237711,336-854-5538,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Barry Mason Pool Services,,6336 New Authon Road,Andrews,TX,79714,United States,32.3035858,-102.5404378,336-854-5539,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Bid-Bon Development,,201 Crutchfield Ave,Nashville,TN,37210,United States,36.136506,-86.731003,336-854-5540,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Deon'S Pool Maintenance Servics,,1478 East Street,Pittsfield,MA,1201,United States,42.4542256,-73.2147933,336-854-5541,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
East Coast Pools,,5215 New Utrecht Ave ,Brooklyn,NY,11219,United States,40.6335243,-73.994917,336-854-5542,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Mica Food Court,,141B Millwell Drive,Maryland Heights,MO,63043,United States,38.7192859,-90.4372971,336-854-5543,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Haggie's Swimpool Services & Supplies ,,5 Wilson Ave,Spring Valley,NY,10977,United States,41.1361643,-74.0308655,336-854-5544,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Heritage Rock Hotel,,2454 S US HWY 421,Harlan,KY,40831,United States,36.8257601,-83.3227587,336-854-5545,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Norman's Hotel,,276 N El Camino Real ,Oceanside,CA,92058,United States,33.2308894,-117.3280815,336-854-5546,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Pelican Spa,,P.O. Box 971205,Orem,UT,84097,United States,40.2757714,-111.6743957,336-854-5547,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/lodash.png
Pool and Spa Centre,,5495 Wilson Street,RIVERSIDE,CA,92509,United States,34.0189468,-117.38142,336-854-5548,,,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Pool Maintenance Services,,7 Prague Place ,Lakewood,NJ,8701,United States,40.0457193,-74.200745,336-854-5549,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Sandstone Pools,,7002 D Newington Road,Lorton,VA,22079,United States,38.7361742,-77.184027,336-854-5550,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Royal Autos,,5221 W Market Street,Greensboro,NC,27409,United States,36.0703772,-79.8822267,336-854-5551,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/apollostack.png
Grahamstown Restaurant,,111 Kimball Way,South San Francisco,CA,94080,United States,37.6507709,-122.3910637,336-854-5552,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
Port Alfred Restaurant,,511 34th Street ,Catlettsburg,KY,41129,United States,38.4060014,-82.6026866,336-854-5553,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/vue.png
JIM Beauty Saloon,,53 Oakley Ave ,Odenville,AL,35120,United States,33.683483,-86.3955715,336-854-5554,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Sliming Center,,2233 NE 244th Ave,Wood Village,OR,97060,United States,45.5396001,-122.4136205,336-854-5555,,,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Artcraft Centre,,457 NJ-17 N,Mahwah,NJ,7430,United States,41.0789578,-74.1486314,336-854-5556,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Tams Hyperstore,,1155 Marsh Street ,Valparaiso,IN,46385,United States,41.458038,-87.074718,336-854-5557,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
The Pool Lab,,35 Ernest Valeri Road B,Buzzards Bay,MA,2532,United States,41.7594224,-70.5781444,336-854-5558,,,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Brandons Club,,2444 Ridgeway Blvd,Manchester,NJ,8759,United States,40.0174532,-74.3070045,336-854-5559,,support@wpmaps.com,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/elastic-logo.png
Amanzi Club,,12301 East Marginal Way South ,Seattle,WA,98168,United States,47.4933033,-122.2864836,336-854-5560,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Cosmic Solar Systems,,1585 Lakeland Ave,Bohemia,NY,11716,United States,40.7827364,-73.1114943,336-854-5561,222-2222-22,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Craig's Workshop,,11104 Sparkleberry Drive,Fort Myers,FL,33913,United States,26.5824452,-81.7910263,336-854-5562,11-11-11,,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Dundee Lawnmower Centre,,4400 NW 74th Ave,Miami,FL,33166,United States,25.81481,-80.319283,336-854-5563,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Ellisras Bou & Hardeware,,1 Blue Hill Plaza,Pearl River,NY,10965,United States,41.0486631,-74.0067845,336-854-5564,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/python.png
Graaf Reinet Mica,,6 Trade Road,Plattsburgh,NY,12901,United States,44.7190099,-73.4699656,336-854-5565,,,,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
Heritage Gardens,,400 Gregory Poole Lane,Mebane,NC,27302,United States,36.0700243,-79.3056228,336-854-5566,,support@wpmaps.com,https://google.com,,https://raw.githubusercontent.com/wpmaps/sample-data/master/logo-images/electron.png
