title,street,city,state,zip,country,lat,lng,phone,email,website,open_hours,
Aberdeen Royal Infirmary ,Foresterhill,Aberdeen,Scotland,AB25 2ZN,United Kingdom,57.154977,-2.1361221,232-578-421,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Addenbrookes Hospital,Hills Rd,Cambridge,East Anglia,CB2 0QQ,United Kingdom,52.173741,0.13911444,232-578-422,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Airedale NHS Trust,Skipton Road,"Steeton, Keighley, West Yorkshire",North East,BD20 6TD,United Kingdom,53.898015,-1.9626947,232-578-423,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Ashford Hospital,London Road,"Ashford, Surrey",SE Coast,TW15 3AA,United Kingdom,51.444102,-0.47270932,232-578-424,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
St Peters Hospital,Guildford Road,"Chertsey, Surrey",SE Coast,KT16 0PZ,United Kingdom,51.377091,-0.52683986,232-578-425,demo@wpmaps.com,https://google.com,,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0
Ayr Hospital ,Dalmellington Road,Ayr,Scotland,KA6 6DX,United Kingdom,55.430476,-4.5945722,232-578-426,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Basingstoke and North Hampshire Hosital,Aldermaston Road,Basingstoke,North London,RG24 9NA,United Kingdom,51.280615,-1.1098753,232-578-427,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Birmingham Womens Hospital,Mindelsohn Way,Birmingham,Midlands,B15 2TG,United Kingdom,52.453185,-1.9422432,232-578-428,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Huddersfield Royal Infirmary,Acre Street,Huddersfield,North East,HD3 3EA,United Kingdom,53.655483,-1.8163381,232-578-429,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Manchester Royal Infirmary ,Oxford Rd,Manchester,North West,M13 9WL,United Kingdom,53.461426,-2.2247084,232-578-430,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Chelsea and Westminster Hosp,369 Fulham Rd,Chelsea,North London,SW10 9NH,United Kingdom,51.48426,-0.18145876,232-578-431,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Crosshouse University Hospital,Kilmarnock Rd,"Crosshouse, Kilmarnock",Scotland,KA2 0BE,United Kingdom,55.61394,-4.5394087,232-578-432,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Croydon University Hospital,530 London Rd,Croydon,South London,CR7 7YE,United Kingdom,51.389129,-0.10878318,232-578-433,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
"Darenth Valley Hospital, Dartford",Darenth Wood Road,"Dartford, Kent",South London,DA2 8DA,United Kingdom,51.435061,0.25816101,232-578-434,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Ealing Hospital,Uxbridge Rd,Southall,North London,UB1 3HW,United Kingdom,51.506988,-0.34633924,232-578-435,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Epsom General Hospital,Dorking Rd,Epsom,South London,KT18 7EG,United Kingdom,51.325026,-0.27340744,232-578-436,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Forth Valley Hospital,Stirling Road,Larbert,Scotland,FK5 4WR,United Kingdom,56.025551,-3.8480945,232-578-437,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Friarage Hospital ,The Friarage,"Northallerton, North Yorkshire",North East,DL6 1JG,United Kingdom,54.342627,-1.4303761,232-578-438,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Frimley Park Hospital,Portsmouth Rd,"Frimley, Camberley",North London,GU16 7UJ,United Kingdom,51.31967,-0.74155505,232-578-439,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Gartnavel Hospital,1053 Great Western Rd,Glasgow,Scotland,G12 0YN,United Kingdom,55.883642,-4.3128532,232-578-440,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Goring Hall Hospital,Bodiam Avenue,"Goring-by-Sea, West Sussex",SE Coast,BN12 5AT,United Kingdom,50.811556,-0.43221054,232-578-441,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
"Diana, Princess of Wales Hospital",Scartho Road,Grimsby,North East,DN33 2BA,United Kingdom,53.544866,-0.096213098,232-578-442,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Guys Hospital,Great Maze Pond / Westminster Bridge Road,London,SE Coast,SE1 7EH,United Kingdom,51.497908,-0.1196707,232-578-443,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Hallamshire Sheffield,Glossop Rd,Sheffield,North East,S10 2JF,United Kingdom,53.378472,-1.4934651,232-578-444,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Harrogate District Hospital,Lancaster Park Rd,Harrogate ,North East,HG2 7SX,United Kingdom,53.993799,-1.5178329,232-578-445,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
Heartlands Hospital,Bordesley Green E,Birmingham,Midlands,B9 5SS,United Kingdom,52.480218,-1.8299656,232-578-446,demo@wpmaps.com,https://google.com,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,
