title,address,city,state,country,postal_code,lat,lng,phone
Advance Pools,"16 Electron Road, Blackheath",Cape Town ,Western Cape,South Africa,,-33.95787,18.691267,232 232 444
Aquaman Pool care / Peter Wood,"25 Mossie Avenue, Sedgefield",Knysna,Western Cape,South Africa,,-34.016308,22.80512,233 232 444
Arlene s Pool Services,"139 Longships Drive, Plettenberg Bay",Knysna,Western Cape,South Africa,,-34.083599,23.362591,234 232 444
Berry's Garden Machinery D/NTH,"19 Umhlanga Rocks Drive, Durban North",Durban,KwaZulu-Natal,South Africa,,-29.776773,31.03388,235 232 444
Berry's Mowers & Pools,"5 Peter Kirchoff Street, Pietermaritzburg",Durban,KwaZulu-Natal,South Africa,,-29.858681,31.021839,236 232 444
Bosveld Skoonmaak Produkte,15 Chris Hani Drive,Bela Bela,Limpopo,South Africa,,-24.884983,28.29166,237 232 444
Bretts Pool Services,"Cnr Church and High Street, Plettenberg Bay",Knysna,Western Cape,South Africa,,-34.035088,23.046469,238 232 444
Builders Discount,27 Nelson Mandela Drive,Modimolle,Limpopo,South Africa,,-24.699553,28.405302,239 232 444
Classic Pools,"Buffeldoring & Tom Street, Wilkoppies",Klerksdorp,North West,South Africa,,-26.83864,26.676483,240 232 444
Control Chemical t/a Pet Pool Warehouse,46 Waterfront Drive,Knysna,Western Cape,South Africa,,-34.039742,23.051411,241 232 444
Cosmic Solar Systems,"483 Louis Botha Avenue, Highlands North",Johannesburg ,Gauteng,South Africa,,-26.137381,28.085951,242 232 444
Craig's Agencies,402 Victoria Road,Pietermaritzburg,KwaZulu-Natal,South Africa,,-29.59181,30.37875,243 232 444
Dundee Lawnmower Centre,"52 Karellandman St, Dundee",Durban,KwaZulu-Natal,South Africa,,-29.858681,31.021839,244 232 444
Ellisras Bou & Hardeware,6 Stroh Street,Ellisras,Limpopo,South Africa,,-23.666466,27.744829,245 232 444
Graaf Reinet Mica,48 Church Street,,Gauteng,South Africa,,-25.744726,28.212788,246 232 444
Heritage Gardens,"72 Viljoen Street, Krugersdorp North",Johannesburg ,Gauteng,South Africa,,-26.069229,27.850245,247 232 444
Howards Pool Centre,252 Ben Viljoen Street,Pretoria,Gauteng,South Africa,,-25.676147,28.174442,248 232 444
Konstruktica,71 van der Bijl Street,Thabazimbi,Limpopo,South Africa,,-24.592463,27.408409,249 232 444
Mr Lawnmower & Pool,"18 3rd Street, Geduld",Springs,Gauteng,South Africa,,-26.242531,28.435019,250 232 444
Norkem Hardware & Pool Supplies,"56 James Wright Ave, Norkem Park",Kempton Park,Gauteng,South Africa,,-26.054399,28.223909,251 232 444
Pitstop Oudshoorn,"65 Voortrekker, Oudshoorn",Knysna ,Western Cape,South Africa,,-34.035088,23.046469,252 232 444
"PNG t/a Pet & Pool Warehouse, George","74 Knysna Road, George",Knysna,Western Cape,South Africa,,-34.070045,23.061489,253 232 444
Pool & Spa Louis Trichardt,4 Industria Road,Louis Trichardt,Western Cape,South Africa,,-33.903278,18.55121,254 232 444
Pool Clear,"14 Stanford Road, Rondebosch",Cape Town ,Western Cape,South Africa,,-33.976196,18.483435,255 232 444
Poolcraft Blackheath,"231 Beyers Naude Drive, Blackheath",Johannesburg ,Gauteng,South Africa,,-26.136501,27.97543,256 232 444
Poolcraft Kensington,"120 Langerman Drive, Kensington",Johannesburg ,Gauteng,South Africa,,-26.18936,28.109079,257 232 444
Powerworld and Pumps CC,"13 Bjorseth Crescent, Amanzimtoti",Durban,KwaZulu-Natal,South Africa,,-30.057299,30.880301,258 232 444
Ridds Aqua Centre,"Shop 55, 56 The Village at Horizon, Horizon",Johannesburg ,Gauteng,South Africa,,-26.204103,28.047304,259 232 444
Robbies Mowers and Pools,"Shop 8 Knowles Centre, Pinetown",Durban,KwaZulu-Natal,South Africa,,-29.858681,31.021839,260 232 444
SA Plastikor,"256 Koos de la Rey Street, Pretoria North",Pretoria,Gauteng,South Africa,,-25.676439,28.180708,261 232 444
Tams Hyperstore Cradock,5 High Street,Cradock,Eastern Cape,South Africa,,-32.175652,25.621719,262 232 444
The Pump Shop,"112A West Avenue, Ferndale",Randburg,Gauteng,South Africa,,-26.075207,27.979965,263 232 444
Water Pleasure,48 Harrington Street,Brits,North West,South Africa,,-25.632389,27.778931,264 232 444
Welcome Home,"Q15 Thesen Island, Knysna",Knysna,Western Cape,South Africa,,-34.057732,23.081656,265 232 444
Zululand Distributors,"151 Church Street, Vryheid",Durban,KwaZulu-Natal,South Africa,,-29.858681,31.021839,266 232 444
Tambotie Hardeware,Cnr Nelson Mandela Drive & Meininger Street,Modimolle,Limpopo,South Africa,,-24.700001,28.406111,267 232 444
